dataset,method,mse,mae,monotonicity_violations
Noisy sigmoid data,Our cubic spline,0.0003515751272936767,0.014783972709645293,187
Noisy sigmoid data,Our monotone spline,0.0003277053798111069,0.01430506707350051,181
Noisy sigmoid data,SciPy cubic spline,0.00035075970927125536,0.014767291562535765,187
Noisy sigmoid data,SciPy PCHIP monotone,0.00032084152773044814,0.01415428099046131,181
Noisy piecewise growth,Our cubic spline,0.0005932201823824462,0.019771634926521186,88
Noisy piecewise growth,Our monotone spline,0.0005503380541705737,0.01891666565965579,77
Noisy piecewise growth,SciPy cubic spline,0.0006028804692844508,0.019869151204458008,88
Noisy piecewise growth,SciPy PCHIP monotone,0.0005460722948137753,0.018916438170781584,78
Noisy step data,Our cubic spline,0.16748606289325318,0.3229344893971997,230
Noisy step data,Our monotone spline,0.1467166690470621,0.30157920324026966,229
Noisy step data,SciPy cubic spline,0.1690280833946282,0.32507425119407823,230
Noisy step data,SciPy PCHIP monotone,0.14309608285226033,0.2979543356719207,229
Plateau then sharp increase,Our cubic spline,,,158
Plateau then sharp increase,Our monotone spline,,,0
Plateau then sharp increase,SciPy cubic spline,,,163
Plateau then sharp increase,SciPy PCHIP monotone,,,0
